System number,Orbit number for that system,Period (d),error on P (d),Periastron time (JD-2400000),error on Periastron time,Flag on periastron time,eccentricity,error on eccentricity,argument of periastron (deg),error on omega,K1 (km/s),error on K1 (km/s),K2 (km/s),error on K2 (km/s),systemic velocity (km/s),error on V0 (km/s),rms RV1 (km/s),rms RV2 (km/s),RV1,RV2,Grade,Bibcode,Contributor,Accessibility,Reference adopted for the times (JD or MJD),Sp1,Sp2,ra (degree),dec (degree),Simbad plx,GAIA plx,V,R,J,H,K
1,1,72.93,,22530.33,0.809,0,0.272,0.017,337.71,4.6,16.43,0.31,,,-6.56,0.28,1.25,,25.0,,5.0,1926PDAOnan.3..341H,DAO,PUB,JD,K1III,,1.5141083333333332,63.67965555555556,0.3845,0.817156482159,7.4000000953674325,,6.892000198364258,6.8499999046325675,6.776999950408936
2,1,4.61,,42297.2,,0,0.0,,0.0,,9.3,,,,-70.0,,,,,,1.0,1975ApJnan200..122H,DAO,PUB,JD,O8fp,,2.0504,-2.4477111111111114,2.3806,,6.21999979019165,,3.8440001010894775,3.015000104904175,2.877000093460083
3,1,96.439,,44288.7,,0,0.04,,152.0,,24.3,,,,-0.4,,,,,,4.0,1985PASPnan97..355B,DAO,PUB,JD,K2III,,2.0969125,29.090430555555553,33.62,,2.059999942779541,2.0899999141693115,2.299999952316284,2.3299999237060547,2.369999885559082
4,1,96.696,,42056.32,,0,0.52,,77.1,,30.1,,,,-11.6,,,,,,4.0,1976PDAOnan14..379A,DAO,PUB,JD,A0p,,2.250670833333333,28.24754166666667,8.8387,8.139656655469999,6.46999979019165,,6.007999897003174,5.953000068664551,5.928999900817871
5,1,34.2601,,43041.27,,0,0.41,,140.9,,35.5,,,,6.9,,,,,,2.0,1985JRASC..79nan49H,DAO,PUB,JD,A4Vm,,2.6752791666666664,54.89149166666667,1.1428,1.3602242911000002,,,7.166999816894531,6.583000183105469,6.373000144958496
6,1,36.561,,46358.920999999995,,1,0.0,,0.0,,27.0,,91.1,,-6.5,,,,,,2.0,1988A&Anan207nan37A,DAO,PUB,JD,A6shell,K3III,2.8532499999999987,-11.478638888888892,4.5876,,,,11.074999809265137,10.930999755859377,10.822999954223633
7,1,0.1758,,45938.91,,0,0.0,,0.0,,108.0,,,,47.0,,,,,,1.0,1985AJnan..90.2082T,DAO,PUB,JD,,,2.9047791666666662,58.211830555555565,1.2718,1.75248731482,7.079999923706055,,6.489999771118164,6.429999828338622,6.331999778747559
8,1,55.9212,,43317.0,,0,0.04,,17.0,,87.5,,,,-25.6,,,,,,3.0,1978PASPnan90..179H,DAO,PUB,JD,B7II-Ib,B,3.303041666666666,62.04087777777778,8.0774,7.577823556639999,6.622000217437744,,6.2129998207092285,6.177999973297119,6.15399980545044
9,1,11.2153,,40493.9,,0,0.22,,21.0,,43.8,,,,-12.5,,,,,,3.0,1971A&Anan.14..189A,DAO,PUB,JD,A2m,,3.7451625,8.82096111111111,13.3128,,6.010000228881836,,5.388999938964844,5.2829999923706055,5.242000102996826
10,1,0.8417,,36094.121,,0,0.0,,0.0,,89.9,,96.8,,2.6,,,,,,3.0,N1959,DAO,PUB,JD,F1IV-V,F1IV-V,4.224562499999998,-52.65114722222222,33.8614,,6.852000236511231,6.4749999046325675,5.566999912261963,5.195000171661377,5.111000061035156
11,1,411.449,0.79,34233.31,0.77,0,0.5671,0.0041,4.68,0.79,13.88,0.1,,,-14.32,0.08,1.8394,,,,3.0,1970MNRAS.147..355B,DAO,PUB,JD,G2V,,4.429424999999998,51.43309166666666,0.5522,,6.139999866485597,,6.2829999923706055,6.386000156402588,6.370999813079834
12,1,3.5236,,35957.058,,0,0.04,,20.8,,223.4,,174.8,,-31.1,,,,,,4.0,1959ApJSnan.4..157A,DAO,PUB,JD,O9III,O9III,4.3396333333333335,-71.9157888888889,2.7338,2.99841988426,10.119999885559082,,9.35200023651123,9.187999725341797,9.135000228881836
13,1,0.5948,,40477.7743,,1,0.0,,0.0,,88.5,,250.0,,20.6,,,,,,3.0,1986MNRAS.223..581H,DAO,PUB,JD,F2,,4.573904166666666,61.727055555555566,0.2994,0.303024263128,7.630000114440918,,7.0960001945495605,7.054999828338622,6.992000102996826
14,1,20.2819,,45908.39,,0,0.05,,178.0,,113.7,,116.6,,-35.8,,,,,,3.0,1986PDAOnan16..193H,DAO,PUB,JD,B0-B0.5Ib,B0-B0.5Ib,4.828091666666666,59.139041666666664,4.1691,,7.21999979019165,,6.9000000953674325,6.8309998512268075,6.787000179290772
15,1,1.8127,,22584.28,,0,0.0,,0.0,,87.9,,,,0.5,,,,,,3.0,1922PDAOnan.2..141P,DAO,PUB,JD,B9V,,5.707824999999999,29.45428055555556,7.502000000000001,6.775106624609999,6.940000057220459,,6.556000232696532,6.556000232696532,6.505000114440918
16,1,1.4323,,29189.577,,0,0.02,,202.0,,53.4,,,,4.4,,,,,,4.0,1949PDDOnan.1..473T,DAO,PUB,JD,A3V,,6.0652375,52.019913888888894,2.0208,,5.579999923706055,,5.738999843597412,5.841000080108643,5.84499979019165
17,1,27.8,,35000.0,,9,0.2,,140.0,,30.0,,,,-18.0,,,,,,1.0,1963ApJnan137..791B,DAO,PUB,JD,B5IV,,6.165324999999998,31.37305555555556,4.3005,,6.75,,6.755000114440918,6.829999923706055,6.834000110626222
18,1,3.1128,,31731.97,,0,0.03,,339.0,,79.6,,134.7,,4.8,,,,,,3.0,1949PDDOnan.1..487H,DAO,PUB,JD,B8VHgMn,,6.2767125,53.0467861111111,5.8393,,5.7189998626708975,,5.754000186920166,5.798999786376952,5.809999942779541
19,1,48.2905,,45240.6,,0,0.38,,320.0,,30.1,,,,3.4,,,,,,3.0,1983A&ASnan53nan29H,DAO,PUB,JD,B9IV,,6.186733333333333,-51.04386666666666,27.016,,6.820000171661378,,5.7129998207092285,5.421000003814697,5.335999965667725
20,1,115.33,,35627.6,,0,0.33,,18.7,,15.3,,,,8.3,,,,,,3.0,1967RGOB..130..355B,DAO,PUB,JD,G4IV-V,,6.571045833333333,-42.30598055555555,38.5,,2.369999885559082,,0.5789999961853027,-0.09000000357627869,-0.17000000178813934
21,1,3848.83,,16201.85,,0,0.34,,19.8,,5.8,,,,75.2,,,,,,3.0,1924AnCap..10nan.7L,DAO,PUB,JD,K0III,,6.847595833333332,30.893330555555554,3.1631,,8.199999809265138,,6.309999942779541,5.810999870300293,5.65500020980835
22,1,936.0,,42531.9,,0,0.0,,0.0,,12.6,,,,-20.0,,,,,,4.0,1979Obsnan.99nan87G,DAO,PUB,MJD,K1III,,7.056891666666665,44.39445277777778,11.2634,,5.172999858856201,,5.360000133514403,5.037000179290772,4.985000133514403
23,1,3.9558,,18841.59,,0,0.15,,233.2,,41.7,,,,2.0,,,,,,3.0,1912PAllOnan2..191U,DAO,PUB,JD,A2Vs,,7.494129166666665,60.211961111111115,0.4222,0.7151873292190001,8.630000114440918,,6.535999774932861,5.994999885559082,5.85699987411499
24,1,688.0,,45779.0,,0,0.28,,26.0,,14.0,,,,-38.1,,,,,,2.0,1987AJnan..94..403H,DAO,PUB,JD,F5-G3Ib,,7.524991666666666,60.151138888888894,0.5232,0.47139604376999994,8.869999885559082,,6.7170000076293945,6.313000202178955,6.164999961853027
25,1,2440.0,,46335.0,,0,0.14,,84.0,,15.1,,,,-38.0,,,,,,3.0,1987AJnan..94..403H,DAO,PUB,JD,F5Ib,,8.3765875,62.511161111111115,0.2533,0.027829031491299998,10.789999961853027,,10.35099983215332,10.26099967956543,10.286999702453613
26,1,1.2435,,27951.931,,0,0.2,,330.0,,93.0,,,,-45.0,,,,,,1.0,1947ApJnan106nan92S,DAO,PUB,JD,B3,,8.811995833333333,-3.5928472222222223,47.05,,5.201000213623047,,4.3480000495910645,3.96399998664856,3.900000095367432
27,1,2.0819,,24548.6,,0,0.01,,280.0,,38.4,,,,,,,,,,3.0,1933ApJnan.78..225L,DAO,PUB,JD,F8V,,9.064404166666666,48.55576111111111,2.2591,,7.519999980926514,,7.624000072479247,7.730999946594237,7.742000102996826
28,1,13.504000000000001,,31673.55,,0,0.51,,152.4,,23.7,,,,-5.2,,,,,,3.0,1949PDDOnan.1..499S,DAO,PUB,JD,B2V,,9.08375,27.25476388888889,4.7013,,6.500999927520753,,6.561999797821045,6.6579999923706055,6.638999938964844
29,1,399.6,,40462.38,,0,0.57,,304.0,,8.1,,,,4.0,,,,,,2.0,1984A&ASnan57nan55S,DAO,PUB,JD,B8IIIp,,9.193504166666663,44.488586111111104,4.9507,,5.129000186920166,,2.256999969482422,1.375,1.2630000114440918
30,1,576.2,3.5,43787.5,22.0,0,0.3,0.06,279.0,15.0,0.69,0.08,,,-33.62,0.05,,,104.0,,3.0,1985PASPnan97..740M,DAO,PUB,MJD,K5III,,9.220208333333332,33.719344444444445,5.45,,4.360000133514403,4.400000095367432,4.650000095367432,4.679999828338623,4.625
31,1,143.6065,,27898.567000000003,,0,0.56,,349.0,,47.5,,117.4,,8.4,,,,,,5.0,1936PASPnan48..214P,DAO,PUB,JD,B5V,B5V,9.117025,-25.6730323,3.5955,3.31894994917,10.3100004196167,,9.717000007629396,9.58199977874756,9.494999885559082
32,1,0.5116,,43450.1332,,1,0.0,,0.0,,105.2,,,,30.6,,,,,,3.0,1986MNRAS.223..581H,DAO,PUB,JD,F0,G8,9.158233333333332,-49.13232222222222,22.52,,6.78,,5.664,5.398,5.303
33,1,3.7418,,30001.444,,0,0.01,,12.8,,84.9,,86.8,,-3.0,,,,,,3.0,1962RGOBnan61nan91B,DAO,PUB,JD,G3V,G8V,9.831983333333332,30.861025,30.91,,3.28,2.36,1.18,0.40299999999999997,0.43
34,1,20157.7,,15568.0,,0,0.34,,356.1,,4.0,,,,-8.5,,,,,,1.0,1976JRASC..70nan23B,DAO,PUB,JD,K3III,,10.026099999999998,50.23764722222222,14.8882,,,10.404999732971193,9.265000343322754,8.645000457763674,8.48900032043457
35,1,0.2337,,44060.8134,,1,0.0,,0.0,,96.0,,231.0,,-3.0,,,,,,2.0,1985AJnan..90..354M,DAO,PUB,JD,K5V,,10.516229166666664,50.512525,2.1703,,4.809999942779541,4.820000171661377,5.02400016784668,5.072000026702881,5.083000183105469
36,1,940.2,,41738.0,,0,0.4,,119.0,,11.9,,,,-10.6,,,,,,2.0,1978ApJSnan36..241A,DAO,PUB,JD,B2V,,10.658287499999998,52.337152777777774,0.3629,,6.946000099182129,,6.697000026702881,6.752999782562256,6.702000141143799
37,1,5.5429,,44924.1,,2,0.0,,0.0,,34.9,,77.0,,-82.3,,,,,,3.0,1986ApJSnan61..419G,DAO,PUB,JD,B1III,,10.70105,35.54878333333333,46.0337,,,9.940999984741213,7.164000034332275,6.50600004196167,6.321000099182129
38,1,2.1703,,42708.359000000004,,2,0.0,,0.0,,72.1,,74.3,,-0.5,,,,,,2.0,1977PASPnan89nan65B,DAO,PUB,JD,dM1e,dM1e,10.866958333333333,47.024547222222225,18.5596,,4.948999881744385,,4.9099998474121085,4.764999866485597,4.584000110626222
39,1,1.9642,,27535.74,,0,0.0,,0.0,,120.5,,122.1,,12.9,,,,,,5.0,1955MmSAI..27nan65M,DAO,PUB,JD,A5V,,10.618220833333332,-65.46803055555556,24.0481,,5.381,,4.5,4.189,4.169
