WDS,AName,Name,RA,DEC,date,TMP,PA,paerr,Sep,seperr,Dmag,QFLAG,TMP3
00006-5306, HJ 5437         ,HIP 50      ,   0.1432, -53.0976, 2019.9521 , I  2,    339.7,   0.4,   1.3647,   0.4,     3.6, ast,      0.2    0.019 Izm2019 
00008+1659, BAG 18          ,HIP 68      ,   0.2004,  16.9882, 2019.5397 , I  2,    333.9,   1.0,   0.7200,   1.0,     3.0, q,      0.1   -0.000 Tok2019c
00012+1357, LSC 2 AaAb     ,HIP 96      ,   0.3050,  13.9751, 2019.5397 , I  2,    170.0,   0.4,   0.2465,   0.4,     1.8, q,                           
00019-4137, I 1060          ,HIP 151     ,   0.4854, -41.6136, 2019.8567 , I  2,     36.6,   0.3,   0.6726,   0.3,     2.6, ast,                           
00022-2052, YSC 168         ,HIP 170     ,   0.5377, -20.8716, 2019.5367 , I  2,     46.8,   1.0,   0.1187,   1.0,     0.3,  ,                           
00026+1841, HDS 2 AaAb     ,HIP 201     ,   0.6393,  18.6834, 2019.5397 , I  2,    216.8,   2.6,   0.0589,   2.6,     2.0,  ,                           
00058-6833, HDS 4           ,HIP 488     ,   1.4615, -68.5518, 2019.8567 , I  2,    218.1,   0.8,   0.1806,   0.8,     1.7, q,                           
00061+0943, HDS 7           ,HIP 510     ,   1.5335,   9.7147, 2019.8563 , I  2,    200.4,   0.2,   0.2657,   0.2,     0.2,  ,     -0.2    0.007 FMR2017c
00084-4257, B 1406          ,HIP 674     ,   2.0899, -42.9437, 2019.9523 , I  2,    303.3,   0.5,   0.9330,   0.5,     0.8, ast,                           
00091-5001, RST5492         ,HIP 743     ,   2.2790, -50.0137, 2019.7911 , I  2,    321.8,   0.7,   1.0117,   0.7,     4.0, ast,                           
00097-3719, B 1904          ,HIP 786     ,   2.4234, -37.3148, 2019.5369 , I  2,    187.0,   0.1,   0.2662,   0.1,     2.0, q,                           
00115-5545, HDS 25          ,HIP 927     ,   2.8813, -55.7498, 2019.9521 , I  2,     74.7,   0.1,   0.1095,   0.1,     0.7, q,                           
