NUM|Name|radec|sep|sp|plxs|plx|V|R|J|H|K||RA|DEC|PMRA|PMDEC
0|HIP4239|005406.11+662608.0|0.0718|F0|None|9.487591589344381|7.06|nan|nan|nan|nan||00 54 06.108|+66 26 07.97|56.2|7.1
1|HIP11253|022451.14+303848.2|0.271|G0V|18.9878|None|nan|7.8|6.902|6.543|6.487||02 24 51.1540|+30 38 48.407|-53.478|-187.595
2|HIP17126|033958.81+635213.4|0.146|F5V+G8V|23.2684|None|nan|6.6|5.931|5.758|5.675||03 39 58.8154|+63 52 13.475|129.823|-143.131
3|HIP18413|035611.48+593831.1|0.442|G0|43.9959|None|nan|6.1|5.229|4.91|4.8||03 56 11.5681|+59 38 31.316|-272.617|149.661
4|HIP27246|054629.79+743636.4|0.1638|G0|25.6929|None|nan|6.9|6.016|5.701|5.629||05 46 29.8820|+74 36 35.970|145.995|-157.922
5|HIP62556|124902.75+660636.7|0.0|M3|97.91|None|nan|10.544|6.88|6.299|6.07||12 49 02.7563|+66 06 36.664|-434.99|-105.61
6|HIP63253|125740.26+351330.2|0.133|M1.5V+M4V|None|None|nan|nan|nan|nan|nan||12 57 40.26|+35 13 30.2|-242.127|-135.949
7|HIP65026|131945.58+474641.1|1.551|K0|None|None|8.94|nan|nan|nan|nan||13 19 45.583|+47 46 41.05|135.0|-27.0
8|HIP85209|172442.41+380210.5|0.0290|G5V+K6V|20.6925|None|8.18|7.6|6.542|6.165|6.075||17 24 42.4271|+38 02 10.555|-81.495|-206.634
9|HIP86642|174213.25+380414.3|0.1033|G0|23.9434|23.94343008107099|7.291|nan|6.077|5.776|5.702||17 42 13.2684|+38 04 14.932|-112.634|87.26
0|MLR297AB,C|015001.17+745600.1|0.429|NoInfo|7.4255|None|nan|8.9|7.965|7.609|7.523||01 50 01.6109|+74 55 59.876|191.49|-38.661
1|A2906A,B|025252.03+525950.6|0.18100000000000002|B8III|None|5.332116824665449|6.945|nan|nan|nan|nan||02 52 52.024|+52 59 50.49|-1.6|-14.5
2|STT50A,B|031239.10+713320.7|1.8659999999999999|F8|20.84|19.49223969363179|7.72|nan|6.47|6.205|6.165||03 12 39.1244|+71 33 20.782|11.73|9.37
3|BU1333B,C|041913.78+613502.3|0.23800000000000002|A3|7.2|5.267967013285037|nan|nan|nan|nan|nan||04 19 13.7643|+61 35 02.297|-8.09|-16.79
4|HDS617Aa,Ab|044800.22+564527.1|0.503|A3m|18.246|None|5.275|5.1|5.11|4.77|4.725||04 48 00.2736|+56 45 25.840|52.538|-140.874
5|A843A,B|052343.65+734726.0|0.556|G5|12.5188|None|nan|8.0|7.165|6.871|6.816||05 23 43.6582|+73 47 26.017|128.953|-92.468
6|JNN55B,C|072106.73+673942.6|0.17800000000000002|K0V+M3V|38.658|None|8.38|nan|6.784|6.35|6.246||07 21 06.7315|+67 39 42.609|-70.115|70.446
7|JNN57Aa,Ab|072931.08+355600.2|0.158|M1V+M3V|23.5906|23.59060359642531|11.876|11.451|8.644|7.998|7.796||07 29 31.1002|+35 56 00.346|-43.93|-112.569
8|YSC3Aa,Ab|083041.66+464458.5|0.095|F5|9.92|8.497088842861947|7.46|nan|6.594|6.463|6.385||08 30 41.6565|+46 44 58.485|-27.17|17.51
9|A221Ba,Bb|091849.53+294913.8|0.591|G5|8.688|8.687974266598099|8.24|nan|6.643|6.198|6.084||09 18 49.5310|+29 49 13.857|-99.269|-49.759
10|COU2084Aa,Ab|093522.50+395747.7|0.24600000000000002|F2V|None|12.62639169112597|6.94|nan|nan|nan|nan||09 35 22.493|+39 57 47.80|-4.1|15.1
11|HO532A,C|104521.48+383042.4|3.4819999999999998|M2|72.9871|72.98709001875206|nan|9.026|6.354|5.733|5.553||10 45 21.4867|+38 30 42.303|-34.68|148.08
12|HDS1574Aa,Ab|110148.52+364114.6|0.235|F0|None|15.443808500429888|10.89|10.75|8.851|8.274|8.104||11 01 48.524|+36 41 14.04|-9.0|54.6
13|CHR192Aa,Ab|111503.10+373443.2|0.2224|G5|3.18|-1.3388618452576346|7.64|nan|5.955|5.556|5.451||11 15 03.1039|+37 34 43.129|5.27|-5.3
14|HDS1714Aa,Ab|120854.66+214719.4|0.5979|G2V|12.7163|None|nan|9.0|8.144|7.788|7.697||12 08 54.6643|+21 47 19.446|-392.969|38.68
15|LSC56Aa,Ab|143518.66+430155.4|0.0473|G0|7.3586|None|nan|8.8|7.933|7.613|7.567||14 35 18.6621|+43 01 55.410|-140.688|63.596
16|YSC152Ea,Eb|161440.85+335131.0|0.514|G0V+G1V|44.1346|None|5.55|nan|3.948|3.346|4.052||16 14 40.8535|+33 51 31.006|-268.325|-86.925
17|COU2530A,B|195124.76+404407.1|0.25|G5|12.3286|12.328608904505282|8.28|nan|7.093|6.829|6.751||19 51 24.7965|+40 44 07.419|49.49|23.374
18|HDS2989Da,Db|205955.28+401531.8|0.94|F8V|24.4114|None|6.593|7.32|5.45|5.158|5.119||20 59 55.2769|+40 15 31.757|230.618|210.183
19|A770A,B|213048.00+482725.4|0.307|K0|None|None|8.66|nan|7.141|6.77|6.694||21 30 48.0032|+48 27 25.409|6.7|-143.7
20|MCA70Aa,Ac|221352.73+394253.7|0.324|K3III|5.5806|5.580550144092159|4.49|3.48|2.2|1.506|1.31||22 13 52.7273|+39 42 53.744|39.155|18.441
21|CHR112Aa,Ab|223552.28+393803.6|0.057|B2Ve+B5|1.8233|1.823259228208347|5.73|nan|5.779|5.846|5.7||22 35 52.2827|+39 38 03.580|-1.993|-4.967
