,_RAJ2000,_DEJ2000,WDS,Name,HD,HIP,Date,PA,Sep,Dmag,Wave,FWHM,f_FWHM,SimbadName,_RA,_DE,Simbad plx,GAIA plx,V,R,J,H,K
0,00 02 33.4267,+18 41 00.258,00026+1841,BD+17 5027 ,225000,   201,2007.8228,148.5,0.10800000000000001, 2.21,698,39, ,HIP    201,0.6392800000000001,18.6834,9.6913,9.691309139588403,8.239999771118164,,7.282000064849853,7.048999786376952,6.982999801635742
1,00 06 08.0345,+09 42 53.771,00061+0943,BD+08 5172 ,   126,   510,2007.0092,149.4,0.109, 1.06,698,39, ,HIP    510,1.53348,9.714939999999999,11.52,,7.800000190734862,,6.85099983215332,6.646999835968018,6.632999897003174
6,00 06 13.1539,-01 53 13.790,00062-0153,BD-02 6098 ,   137,   515,2007.8173,336.2,0.327, 2.45,754,44, ,HIP    515,1.55481,-1.88716,,,,,,,
8,00 08 28.4672,+34 56 04.365,00085+3456,BD+34 3    ,   375,   689,2007.8172,139.8,0.062, 0.00,754,44,a,HIP    689,2.11861,34.93455,,,,,,,
10,00 12 08.0881,+53 37 26.005,00121+5337,ADS 148    ,   761,   981,2007.0064,309.0,0.32899999999999996, 1.58,550,40, ,HIP    981,3.0337,53.62389,,,,,,,
11,00 14 20.2021,-27 31 53.156,00143-2732,CD-28 47   ,  1002,  1144,2007.8255,287.1,0.175, 1.06,550,40, ,HIP   1144,3.5841800000000004,-27.53143,,,,,,,
12,00 16 23.4565,-22 35 16.863,00164-2235,HD1205     ,  1205,  1306,2007.8255,231.8,0.198, 1.81,550,40, ,HIP   1306,4.09774,-22.58802,7.0184,7.018382897420376,8.680000305175781,,7.61899995803833,7.425000190734862,7.282000064849853
13,00 16 34.0408,+08 14 24.563,00166+0814,HR 59      ,  1227,  1319,2007.8173,223.2,0.479, 3.89,754,44, ,HIP   1319,4.14184,8.240160000000001,,,,,,,
15,00 17 56.9435,+34 34 31.872,00179+3435,BD+33 24   ,  1362,  1441,2007.8257,285.0,0.528, 2.95,550,40, ,HIP   1441,4.48726,34.575520000000004,10.112,10.112037675396747,7.389999866485597,,6.383999824523926,6.11899995803833,6.072000026702881
16,00 25 08.7379,+48 02 50.956,00251+4803,BD+47 88   ,  2057,  1987,2007.0065,312.4,0.282, 3.29,550,40, ,HIP   1987,6.28641,48.04749,,,,,,,
18,00 25 49.8233,+10 25 24.534,00258+1025,BD+09 41   ,  2157,  2035,2007.8173,100.9,0.114, 1.17,754,44, ,HIP   2035,6.4576,10.42348,8.34,0.08679550003862603,6.809999942779541,,6.296999931335449,6.249000072479247,6.182000160217285
20,00 25 57.6353,+19 04 32.759,00260+1905,BD+18 42   ,  2174,  2048,2007.0066,261.2,0.8290000000000001,     ,550,40, ,HIP   2048,6.49015,19.075770000000002,19.8287,19.828700792535148,6.460000038146973,,6.251999855041504,5.9749999046325675,5.864999771118164
21,00 26 08.6776,-11 22 37.078,00261-1123,BD-12 63   ,  2237,  2066,2007.8173,193.6,0.40299999999999997, 2.90,754,44, ,HIP   2066,6.53616,-11.37697,15.572000000000001,15.571998162815285,7.9000000953674325,,6.732999801635742,6.435999870300293,6.35699987411499
23,00 26 37.4130,-00 02 58.300,00266-0003,HR 101     ,  2273,  2100,2007.8173,275.5,0.431, 2.60,754,44, ,HIP   2100,6.655889999999999,-0.049530000000000005,8.1442,8.144172706584751,6.120999813079834,,4.6579999923706055,4.1579999923706055,4.1040000915527335
25,00 32 07.0711,-12 17 42.290,00321-1218,BD-13 89   ,  2893,  2532,2007.8256,324.7,0.314, 0.52,550,40, ,HIP   2532,8.02946,-12.29508,,,,,,,
26,00 32 23.7813,+06 57 19.657,00324+0657,ADS 449    ,  2913,  2548,2007.0093,276.5,0.247, 1.97,698,39, ,HIP   2548,8.099089999999999,6.95546,6.4777,6.477707667679385,8.470000267028809,,7.820000171661378,7.703000068664551,7.6560001373291025
30,00 38 50.9879,+03 42 18.140,00389+0342,           ,      ,  3061,2007.8173,320.1,0.772, 0.49,754,44, ,HIP   3061,9.71245,3.7050400000000003,,,,,,,
31,00 39 39.6663,-21 34 45.087,00397-2135,BD-22 112  ,  3693,  3118,2007.8255,32.5,0.275, 0.58,550,40, ,HIP   3118,9.915280000000001,-21.57919,18.7043,,,7.1,6.377000000000001,6.093,6.022
32,00 42 48.0343,+12 48 41.162,00428+1249,BD+12 81   ,      ,  3361,2007.0092,61.2,0.258, 1.39,698,39, ,HIP   3361,10.70014,12.81143,,,,,,,
33,00 44 37.1500,-18 56 48.203,00446-1856,BD-19 111  ,      ,  3493,2007.8255,235.9,0.201, 1.13,550,40, ,HIP   3493,11.15479,-18.946720000000003,6.9457,6.945662054031482,9.199999809265137,,8.074000358581543,7.761000156402588,7.697000026702881
34,00 46 16.1282,-06 33 58.393,00463-0634,BD-07 117  ,  4393,  3612,2007.8174,255.2,0.069, 1.28,754,44, ,HIP   3612,11.5672,-6.5662199999999995,,,,,,,
35,00 46 56.6693,+43 38 47.277,00469+4339,BD+42 170  ,      ,  3669,2007.0065,113.0,0.141, 1.25,550,40, ,HIP   3669,11.73612,43.64647,11.2577,11.257737125409967,8.800000190734863,,7.657999992370605,7.4120001792907715,7.326000213623048
38,00 49 32.6851,+44 03 33.234,00495+4404,BD+43 159  ,  4712,  3857,2007.0094,7.7,0.11699999999999999, 2.23,698,39, ,HIP   3857,12.38619,44.05923,17.557000000000002,17.556951554390675,8.239999771118164,,7.117000102996826,6.8379998207092285,6.7220001220703125
40,00 50 47.5193,-01 55 19.280,00508-0155,BD-02 112  ,  4873,  3957,2007.8173,352.2,0.802, 2.62,754,44, ,HIP   3957,12.698,-1.92202,,,,,,,
42,00 51 35.2481,+44 12 29.430,00516+4412,BD+43 165  ,  4901,      ,2007.0094,122.0,0.12, 1.43,698,39, ,HD    4901,12.89687,44.20817,7.23,2.378339136466193,6.191999912261963,,4.901000022888184,4.177999973297118,4.129000186920166
44,00 51 50.0471,+78 37 32.741,00518+7837,BD+77 29   ,  4741,  4041,2007.012,234.2,0.29, 2.40,754,44, ,HIP   4041,12.95853,78.62576,,,,,,,
45,00 59 35.1150,-01 11 29.778,00596-0111,ADS 822    ,  5805,  4641,2007.0093,10.1,0.39399999999999996, 0.84,698,39, ,HIP   4641,14.89631,-1.1916,14.47,,8.289999961853027,,7.2189998626708975,6.88100004196167,6.868000030517577
48,01 01 43.5822,+25 17 31.998,01017+2518,BD+24 163  ,  6009,  4809,2007.8228,192.0,0.11599999999999999, 0.26,698,39, ,HIP   4809,15.43159,25.29222,11.2217,11.221698360196248,5.678999999999999,,5.6770000000000005,5.681,5.6370000000000005
49,01 02 24.5727,+05 03 41.214,01024+0504,BD+04 158  ,  6101,  4849,2007.0093,107.6,0.465, 1.73,698,39, ,HIP   4849,15.60239,5.06145,,,,,,,
52,01 03 46.2867,+52 11 55.041,01038+5212,BD+51 219  ,232361,  4976,2007.8229,81.1,0.43200000000000005, 0.52,698,39, ,HIP   4976,15.942860000000001,52.19862,,,,,,,
53,01 05 40.9553,+21 28 23.449,01057+2128,ADS 899    ,  6456,  5131,2007.8228,311.4,0.051, 0.72,698,39,a,HIP   5131,16.42065,21.47318,,,,,,,
54,01 07 04.4950,-00 35 31.620,01071-0036,BD-01 147  ,  6639,  5245,2007.0119,201.5,0.222, 2.49,550,40, ,HIP   5245,16.768729999999998,-0.59212,,,,,,,
57,01 07 09.1819,+38 39 01.627,01072+3839,ADS 918    ,  6586,  5249,2007.0065,331.9,0.128, 0.00,550,40, ,HIP   5249,16.78826,38.65045,8.9,-7.287989050628668,9.289999961853027,,8.152999877929688,7.853000164031982,7.771999835968018
58,01 10 50.7438,+67 46 48.346,01108+6747,BD+67 98   ,  6840,  5531,2007.0093,177.7,0.121, 0.55,698,39, ,HIP   5531,17.71143,67.7801,13.22,,,9.800000190734863,8.559000015258789,8.10200023651123,7.956999778747559
61,01 11 43.5087,+08 34 48.344,01117+0835,BD+07 181  ,  7128,  5593,2007.8174,133.8,0.33799999999999997, 1.67,754,44, ,HIP   5593,17.93129,8.5801,27.4741,,10.722000000000001,10.309000000000001,7.984,7.3229999999999995,7.124
62,01 12 53.8949,+51 36 08.449,01129+5136,BD+50 238  ,  7169,  5674,2007.823,66.9,0.154, 1.89,698,39, ,HIP   5674,18.22456,51.60235,7.0404,7.040393107630672,8.539999961853027,,7.7059998512268075,7.540999889373778,7.460000038146973
