Seq|Star|RAJ2000|DEJ2000|Dist|n_Dist|Age|Hmag|SpType|MA|l_MB|MB|l_rho|rho|l_Per|Per|x_Per|l_Ecc|Ecc|l_acrit|acrit|Ref|SimbadName
  1|TYC 5839-0596-1          |00 12 07.600|-15 50 33.00| 33.40| |4000| 6.640|K0IVe     | 0.700| | 0.700|  |        | |         |  | |      |< |10.000|NLP                    |TYC 5839-0596-1
  2|HIP 3210                 |00 40 51.580|-53 12 35.70| 44.80| | 150| 6.220|F7V       | 1.140| | 0.400|  |        | |         |  | |      |< |10.000|SONG                   |HIP 3210
  3|HIP 3924                 |00 50 24.310|-64 04 04.02| 53.20| | 500| 6.710|F7V       | 1.170| | 0.800|  |        | |         |  | |      |< |10.000|NLP                    |HIP 3924
  4|HIP 4448                 |00 56 55.470|-51 52 31.86| 40.63| |  50| 6.520|K3/K4V    | 0.790| | 0.750|  | 0.22800| |         |  | |      |  |34.000|K07                    |HIP 4448
  5|2MASS J01033563-5515561  |01 03 35.600|-55 15 56.10| 47.20| |  45| 9.580|M7        | 0.190| | 0.170|  | 0.25000| |         |  | |      |  |43.100|L15                    |2MASS J01033563-5515561
  6|HIP 4967                 |01 03 40.120|+40 51 29.25| 29.90| | 149| 7.460|M0        | 0.650| | 0.230|  | 0.27000| |         |  | |      |  |31.000|B15                    |HIP 4967
  7|HIP 9141                 |01 57 48.900|-21 54 05.00| 40.90| |  45| 5.560|G4V       | 0.910| | 0.860|  | 0.15000| |         |  | |      |  |22.500|B07, J13, SONG         |HIP 9141
  8|NLTT 6549                |01 58 13.610|+48 44 19.70| 44.00| | 625| 8.240|M1.5      | 0.600| | 0.340|  | 0.05000| |         |  | |      |  | 8.400|B15                    |NLTT 6549
  9|HIP 11072                |02 22 32.550|-23 48 58.80| 21.96| |5800| 3.710|G2V       | 1.200| | 0.960|  | 0.54000| |   25.810|yr| | 0.339|  |38.400|GDPS                   |HIP 11072
 10|HIP 12413                |02 39 47.990|-42 53 30.03| 39.80| |  42| 4.620|A1V       | 2.030|~| 0.600|  |        | |         |  | |      |~ |20.000|V12                    |HIP 12413
 11|HIP 12545                |02 41 25.900|+05 59 18.40| 42.03| |  24| 7.200|M...      | 0.760| |      |  |        | |         |  | |      |< |20.000|B07, B13, SONG         |HIP 12545
 12|HIP 12638                |02 42 21.310|+38 37 07.23| 45.45| | 149| 7.100|G2V       | 0.910| | 0.280|  | 0.02600| |  466.500|d | | 0.084|  | 3.000|B13                    |HIP 12638
 13|HIP 13081                |02 48 09.140|+27 04 07.10| 24.63| | 500| 5.690|K1V       | 0.980| | 0.180|  |        | |   17.000|yr| | 0.690|  |26.300|GDPS                   |HIP 13081
 14|HIP 14555                |03 07 55.750|-28 13 10.97| 19.20| |  70| 6.580|K8V       | 0.600| | 0.600|  |        | |         |  | |      |< | 1.000|M14                    |HIP 14555
 15|HIP 14576                |03 08 10.130|+40 57 20.30| 28.50| | 460| 1.950|B8V       | 4.510| | 1.700|  |        | |  679.900|  | | 0.220|  | 8.670|JB11                   |HIP 14576
 16|HIP 16247                |03 29 22.880|-24 06 03.10| 31.06| |4000| 6.590|K3V       | 0.700| | 0.640|  |        | |    3.980|  | | 0.000|  | 0.130|L05                    |HIP 16247
 17|2MASS J03363144-2619578  |03 36 31.400|-26 19 57.80| 44.00| |  45| 9.800|M6        | 0.180| | 0.070|<=| 0.12000| |         |  | |      |<=|20.300|L15                    |2MASS J03363144-2619578
 18|HIP 16853                |03 36 53.400|-49 57 28.90| 41.70| |  45| 6.260|G2V       | 1.000| | 0.400|  |        | |  201.000|  | | 0.000|  | 1.770|SONG                   |HIP 16853
 19|HD 282954                |03 46 38.770|+24 57 34.69|133.50| | 125| 8.850|G0V       | 0.750| |      |  |        | |         |  | |      |< |10.000|Y13                    |HD 282954
 20|HII 1348                 |03 47 18.060|+24 23 26.80|133.50| | 125|11.020|K5V+M8    | 0.670| | 0.550|  |        | |         |  | |      |< |10.000|Y13                    |HII 1348
 21|HD 23863                 |03 49 12.180|+23 53 12.46|133.50| | 125| 7.600|A7V       | 1.750| | 0.450|  | 0.02200| |         |  | |      |  |11.300|Y13                    |HD 23863
 22|HIP 19176                |04 06 38.800|+20 18 11.13|108.20| |  25| 8.200|F8/G1     | 1.140| |      |  |        | |         |  | |      |~ |40.000|D15                    |HIP 19176
 23|RX J0415.8+3100          |04 15 51.380|+31 00 35.60|200.00| | 100|10.050|G6        | 0.950|>| 0.210|  |        | |         |  | |      |< | 1.000|D15                    |RX J0415.8+3100
 24|RX J0435.9+2352          |04 35 56.830|+23 52 05.00|140.00| |  20| 8.950|M1.5      | 0.420| | 0.270|  | 0.08600| |         |  | |      |  |45.400|D15                    |RX J0435.9+2352
 25|HIP 21482                |04 36 48.240|+27 07 55.90| 18.00|n| 625| 5.400|K2V       | 0.840| | 0.190|  |        | |    1.790|  | | 0.000|  | 0.060|GDPS                   |HIP 21482
 26|GJ 3305                  |04 37 36.130|-02 28 24.77| 29.42| |  24| 4.770|M0.5V     | 0.850| | 0.500|  | 0.09000| |   21.500|yr| | 0.060|  |22.380|D12, BN13, L15         |GJ 3305
 27|HIP 21965                |04 43 17.200|-23 37 42.04| 63.60| |  45| 6.070|F2-3IV/V  | 1.420| | 0.630|  |        | |  709.000|  | | 0.290|  | 6.600|M15                    |HIP 21965
 28|DQ Tau                   |04 46 53.063|+17 00 00.10|140.00| |   2| 8.540|M1V       | 0.560| | 0.560|  |        | |   15.800|  | | 0.556|  | 0.470|D15                    |DQ Tau
 29|HIP 23296                |05 00 39.800|-02 03 57.70| 49.60| | 125| 5.620|A8IV      | 1.500| | 0.290|  |        | |    8.111|  | | 0.000|  | 0.200|V12                    |HIP 23296
 30|HIP 23418                |05 01 58.790|+09 58 59.29| 24.60| |  24| 6.660|M3.5      | 0.260| | 0.150|  |        | |   12.000|d | |      |  | 0.290|L15                    |HIP 23418
 31|L449-1AB                 |05 17 22.930|-35 21 54.50| 11.85| | 500| 6.850|M4.0      | 0.330| | 0.240|  | 0.04700| |         |  | |      |  | 2.000|B15                    |L449-1
 32|HIP 25486                |05 27 04.760|-11 54 03.47| 27.04| |  24| 2.930|F7V       | 1.060| | 0.760|  |        | |         |  | |      |< |10.000|K07, L05, R13 B13, BN13|HIP 25486
